Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C25, C26, C32, C6",0805,5,10u,
"C10, C11, C12, C13, C14, C15, C2, C22, C3, C9",0805,10,100n,
C16,0805,1,4.7u,
C17,0805,1,1n,
"C18, C19, C35, C36, C37, C38, C39",0805,7,0.1u,
"C20, C21",0805,2,0.5n,
"C23, C28, C29, C34",0805,4,0.47u,
"C24, C4, C5",0805,3,22u,
"C27, C33",0805,2,0.047u,
"C30, C31",0805,2,2n,
C40,0805,1,0.01uF,
"C7, C8",0805,2,2.2u,
"D1, D5",D_SOD-123,2,CDBW140-G,
D2,1206,1,WHITE,
"D3, D4",0603,2,GREEN,
D6,1206,1,BLUE,
F1,1206,1,3.5A 0685T3500-01,
FB1,0603,1,PE-0603PFB121ST,
"J1, J2",TerminalBlock_CUI_TB007-508-04_1x04_P5.08mm_Horizontal,2,TB001-500-04BE,
"J11, J12, J3, J7",TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,4,TB002-500-02BE,
"J4, J8",TerminalBlock_CUI_TB007-508-06_1x06_P5.08mm_Horizontal,2,TB003-500-P06BE,
J5,PinHeader_2x07_P1.27mm_Vertical_SMD,1,CN4 STDC14 (Programmer),
J6,microSD_HC_Molex_47219-2001,1,Micro SD Holder 0472192001,
L1,SPM6530T-2R2M,1,2.2u,
"Q1, Q2",SOT-323_SC-70_Handsoldering,2,DMG1012UW-7,
"R1, R2, R3",0805,3,150R ±0.1%,
R11,0805,1,33.2k,
R12,0805,1,10.2k,
"R13, R14, R15, R16, R17",0805,5,50k,
"R18, R19",0805,2,32.4k ±0.1%,
R20,0805,1,100R ±0.1%,
"R21, R38",0805,2,8.06k,
"R22, R23",0805,2,200k,
"R24, R25, R30, R47",0805,4,1M ±0.1%,
"R26, R31, R32, R37",0805,4,806R,
"R27, R28",0805,2,1k,
R29,0805,1,10M ±1%,
"R33, R35",0805,2,20k,
"R34, R36",0805,2,80.6k,
"R4, R7",0805,2,649R,
"R44, R45",0805,2,169R,
R46,0805,1,3M ±1%,
"R5, R6",0805,2,150k,
TH1,0603,1,PTS060301B100RP100,
"TP1, TP10",TestPoint_Pad_D2.0mm,2,TestPoint,
TP2,TestPoint_Pad_D2.0mm,1,TC2+,
TP3,TestPoint_Pad_D2.0mm,1,TC2-,
TP4,TestPoint_Pad_D2.0mm,1,TC1+,
TP5,TestPoint_Pad_D2.0mm,1,TC1-,
TP6,TestPoint_Pad_D2.0mm,1,TC3+,
TP7,TestPoint_Pad_D2.0mm,1,TC3-,
TP8,TestPoint_Pad_D2.0mm,1,RTD1,
TP9,TestPoint_Pad_D2.0mm,1,RTD2,
U1,SOT-23-6_Handsoldering,1,TPS565201DDC,
"U11, U12, U3, U4",MSOP-8_3x3mm_P0.65mm,4,INA326,
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX6675,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,MX25L25645G,
U6,LQFP-100_14x14mm_P0.5mm,1,STM32H750VBTx,
Y1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-4.000MHz-L-C-T,
