Designator,Mid X,Mid Y,Rotation,Layer
C1,106.3875,-50.825,180.0,top
C10,154.125,-55.3375,270.0,top
C11,145.3,-66.275,270.0,top
C12,150.775,-55.3625,90.0,top
C13,161.4375,-52.95,0.0,top
C14,129.35,-43.85,180.0,top
C15,150.8,-44.55,0.0,top
C16,100.15,-68.3,180.0,top
C17,160.6375,-49.475,0.0,top
C18,197.15,-55.2125,270.0,top
C19,198.4,-62.8375,90.0,top
C2,106.425,-58.35,180.0,top
C20,196.1275,-81.7825,0.0,top
C21,185.6775,-67.1825,0.0,top
C22,155.1625,-51.125,0.0,top
C23,184.2775,-80.8825,180.0,top
C24,95.913501,-45.506,90.0,top
C25,144.5025,-86.1,0.0,top
C26,125.95,-70.625,270.0,bottom
C27,157.665,-78.0575,180.0,top
C28,161.815,-78.0825,180.0,top
C29,153.615,-78.0825,180.0,top
C3,95.988501,-54.831,90.0,top
C30,164.93,-62.3,0.0,top
C31,156.3025,-62.3075,0.0,top
C32,106.3875,-54.525,180.0,top
C33,177.2025,-80.8075,180.0,top
C34,175.1275,-77.1825,180.0,top
C35,159.45,-40.125,180.0,top
C36,148.925,-66.575,180.0,top
C37,191.75,-84.825,180.0,top
C38,160.75,-65.25,180.0,top
C39,178.275,-70.65,180.0,top
C4,90.788501,-45.531,90.0,top
C40,174.0625,-55.225,0.0,top
C5,101.538501,-45.481,90.0,top
C6,128.9275,-84.85,180.0,top
C7,126.5,-40.4,180.0,top
C8,126.225,-58.875,180.0,top
C9,126.675,-64.825,270.0,top
D1,185.965,-39.95,0.0,top
D2,121.8125,-56.0,180.0,top
D3,189.7,-44.225,90.0,top
D4,202.5,-47.55,90.0,top
D5,197.215,-39.775,0.0,top
D6,121.7625,-52.2,180.0,top
F1,107.4875,-45.1125,90.0,top
FB1,150.525,-49.575,180.0,top
J1,190.285,-31.325,0.0,top
J11,157.115,-95.6,0.0,top
J12,166.81,-31.175,0.0,top
J2,136.545,-95.6,0.0,top
J3,180.69,-95.225,0.0,top
J4,137.31,-31.0,0.0,top
J5,138.4,-69.985,0.0,top
J6,117.5718,-69.006,270.0,top
J7,104.935,-31.05,0.0,top
J8,205.775,-67.15,270.0,top
L1,90.713501,-53.031,270.0,top
Q1,185.4,-44.43,270.0,top
Q2,198.15,-44.575,270.0,top
R1,130.7,-40.35,0.0,top
R11,95.938501,-49.731,270.0,top
R12,101.638501,-49.731,90.0,top
R13,114.675,-61.35,180.0,bottom
R14,114.6,-64.675,180.0,bottom
R15,114.55,-67.95,180.0,bottom
R16,114.625,-71.3,180.0,bottom
R17,114.625,-74.55,180.0,bottom
R18,188.365,-94.8325,270.0,top
R19,197.665,-89.7075,270.0,top
R2,140.85,-40.375,0.0,top
R20,197.69,-93.5575,270.0,top
R21,189.29,-90.7075,90.0,top
R22,196.14,-85.3325,0.0,top
R23,185.64,-70.4575,0.0,top
R24,184.215,-88.6825,0.0,top
R25,177.14,-87.5575,180.0,top
R26,184.24,-84.1075,180.0,top
R27,180.925,-45.70875,180.0,top
R28,194.4625,-43.475,180.0,top
R29,160.64,-86.9325,180.0,top
R3,151.075,-40.375,0.0,top
R30,153.565,-87.1075,180.0,top
R31,159.54,-82.9075,180.0,top
R32,155.665,-82.9075,0.0,top
R33,158.665,-71.1825,90.0,top
R34,164.965,-65.8325,0.0,top
R35,150.065,-71.0325,90.0,top
R36,156.29,-65.9075,0.0,top
R37,177.14,-84.1075,180.0,top
R38,179.515,-75.3575,90.0,top
R4,189.7,-40.525,270.0,top
R44,116.6,-55.5,0.0,top
R45,116.7,-52.075,0.0,top
R46,106.4875,-63.0,180.0,top
R47,100.1375,-63.0,180.0,top
R5,192.4625,-46.975,180.0,top
R6,183.925,-49.325,0.0,top
R7,202.5,-43.775,270.0,top
TH1,188.165,-99.145,270.0,top
U1,100.688501,-55.156,270.0,top
U11,162.965,-70.9825,0.0,top
U12,154.315,-71.0575,0.0,top
U13,166.77,-42.57,180.0,top
U2,136.815,-84.195,270.0,top
U3,194.19,-90.8325,0.0,top
U4,183.615,-75.1325,0.0,top
U5,119.8875,-46.48,90.0,top
U6,139.3,-53.55,90.0,top
Y1,167.85,-54.375,180.0,top
